dummy   dummy   omega1  omega2  omega3  omega4  omega5
j1      t1      0.70935563      0.537642551     0.529714295     0.662614683     0.334138265
j1      t2      0.775471456     0.755128024     0.764835691     0.814958766     0.320718433
j1      t3      0.745059768     0.831703786     0.766687091     0.912908861     0.670195009
j1      t4      0.714242808     0.825552393     0.826478661     0.940802344     0.715879043
j1      t5      0.367945408     0.637594656     0.801865505     0.981795369     0.863173498
j1      t6      0.629844599     0.680351788     0.67618938      0.950654863     0.809602492
j1      t7      0.596334491     0.298514469     0.564111926     0.947121103     0.737250633
j1      t8      0.690266878     0.301478969     0.466306305     0.827103335     0.745210235
j1      t9      0.668978727     0.444627214     0.736167367     0.856224458     0.656484829
j1      t10     0.75863269      0.127258563     0.768709882     0.890773281     0.724073595
j1      t11     0.812573298     0.169135265     0.864251712     0.952358375     0.631564115
j1      t12     0.773641718     0.153362298     0.829028734     0.98765434      0.689311008
j1      t13     0.59319268      0.246672935     0.794134073     0.797757994     0.583213816
j1      t14     0.500438578     0.257560895     0.524430806     0.773191132     0.539353907
j1      t15     0.38163195      0.122354527     0.272735198     0.674699305     0.444609091
j1      t16     0.371859887     0.149471146     0.240336438     0.562358733     0.448502803
j1      t17     0.24317279      0.157037406     0.143853945     0.480694059     0.370239855
j1      t18     0.173142147     0.136188529     0.193273104     0.360726332     0.260344039
j1      t19     0.263387816     0.139273588     0.551180452     0.530736164     0.407941327
j1      t20     0.250496535     0.35163739      0.636053833     0.337889131     0.105008385
j1      t21     0.112810396     0.223522564     0.533927972     0.132831895     0.218466589
j1      t22     0.200306381     0.156489738     0.430462314     0.093838152     0.236870008
j1      t23     0.385301766     0.265752677     0.421003521     0.165882071     0.139295747
j1      t24     0.404915934     0.153107571     0.370411849     0.173876881     0.116903469
